sid,year,week,cutting,printing
11-44,2023,2,1,0
11-46,2023,2,1,0
11-47-C,2023,2,1,0
11-49-A,2023,2,1,0
11-49-D,2023,2,1,0
11-49-I,2023,2,1,0
11-49-L,2023,2,1,0
11-49-N,2023,2,1,0
11-51-A,2023,2,1,0
11-52,2023,2,1,0
11-55,2023,2,1,0
11-56-C,2023,2,1,0
11-58-A,2023,2,1,0
11-58-C,2023,2,1,0
11-59,2023,2,1,0
11-60-B,2023,2,1,0
11-60-E,2023,2,1,0
11-61,2023,2,1,0
11-62-B,2023,2,1,0
11-62-C,2023,2,1,0
11-62-E,2023,2,1,0
11-63,2023,2,1,0
11-64-B,2023,2,1,0
11-66,2023,2,1,0
11-68-A,2023,2,1,0
11-68-AA,2023,2,1,0
11-68-AB,2023,2,1,0
11-68-AC,2023,2,1,0
11-68-AD,2023,2,1,0
11-68-AE,2023,2,1,0
11-68-AF,2023,2,1,0
11-68-AG,2023,2,1,0
11-68-AH,2023,2,1,0
11-68-AI,2023,2,1,0
11-68-AJ,2023,2,1,0
11-68-AL,2023,2,1,0
11-68-AQ,2023,2,1,0
11-68-C,2023,2,1,0
11-68-D,2023,2,1,0
11-68-M,2023,2,1,0
11-68-N,2023,2,1,0
11-68-O,2023,2,1,0
11-68-P,2023,2,1,0
11-68-R,2023,2,1,0
11-68-S,2023,2,1,0
11-68-U,2023,2,1,0
11-68-V,2023,2,1,0
11-68-W,2023,2,1,0
11-68-X,2023,2,1,0
11-69-B,2023,2,1,0
11-71,2023,2,1,0
11-72-B,2023,2,1,0
11-74-A,2023,2,1,0
11-75-B,2023,2,1,0
11-76-B,2023,2,1,0
11-78-A,2023,2,1,0
11-78-F,2023,2,1,0
11-78-G,2023,2,1,0
11-78-H,2023,2,1,0
11-78-J,2023,2,1,0
11-79-A,2023,2,1,0
11-80-B,2023,2,1,0
11-82,2023,2,1,0
11-83,2023,2,1,0
11-84,2023,2,1,0
11-85,2023,2,1,0
11-86,2023,2,1,0
11-88,2023,2,1,0
11-89,2023,2,1,0
11-90,2023,2,1,0
11-91,2023,2,1,0
11-92,2023,2,1,0
11-93-A,2023,2,1,0
11-93-B,2023,2,1,0
11-93-C,2023,2,1,0
11-93-D,2023,2,1,0
11-93-E,2023,2,1,0
11-95-A,2023,2,1,0
11-95-B,2023,2,1,0
11-95-C,2023,2,1,0
11-96,2023,2,1,0
11-99,2023,2,1,0
12-2,2023,2,1,0
12-5,2023,2,1,0
12-7,2023,2,1,0
12-9,2023,2,1,0
12-11,2023,2,1,0
12-13,2023,2,1,0
12-15,2023,2,1,0
12-17,2023,2,1,0
12-19,2023,2,1,0
12-21,2023,2,1,0
12-23,2023,2,1,0
13-2,2023,2,1,0
13-4,2023,2,1,0
13-6,2023,2,1,0
13-8,2023,2,1,0
13-12,2023,2,1,0
13-15,2023,2,1,0
14-4,2023,2,1,0
14-6,2023,2,1,0
14-8,2023,2,1,0
14-10,2023,2,1,0
14-11,2023,2,1,0
14-13,2023,2,1,0
14-15,2023,2,1,0
14-17,2023,2,1,0
14-18-A,2023,2,1,0
14-19,2023,2,1,0
14-21,2023,2,1,0
14-22,2023,2,1,0
14-23,2023,2,1,0
14-24,2023,2,1,0
14-25,2023,2,1,0
14-26,2023,2,1,0
14-32,2023,2,1,0
14-35,2023,2,1,0
15-3,2023,2,1,0
15-5,2023,2,1,0
16-1,2023,2,1,0
16-8,2023,2,1,0
16-22,2023,2,1,0
16-26,2023,2,1,0
16-28,2023,2,1,0
16-29-B,2023,2,1,0
16-31,2023,2,1,0
16-33,2023,2,1,0
17-2-B,2023,2,1,0
17-3-A,2023,2,1,0
17-5,2023,2,1,0
17-6,2023,2,1,0
17-7-B,2023,2,1,0
17-8-B,2023,2,1,0
17-11-A,2023,2,1,0
17-12,2023,2,1,0
17-13-B,2023,2,1,0
17-14,2023,2,1,0
17-16,2023,2,1,0
17-18-A,2023,2,1,0
17-19,2023,2,1,0
17-1-B,2023,2,1,0
17-21,2023,2,1,0
18-1-B,2023,2,1,0
18-2-B,2023,2,1,0
18-3-B,2023,2,1,0
18-5,2023,2,1,0
19-2-A,2023,2,1,0
19-2-B,2023,2,1,0
19-2-C,2023,2,1,0
19-3,2023,2,1,0
19-5-A,2023,2,1,0
19-7-B,2023,2,1,0
19-8-A,2023,2,1,0
19-8-B,2023,2,1,0
19-9,2023,2,1,0
19-10-C,2023,2,1,0
19-10-E,2023,2,1,0
19-11,2023,2,1,0
19-12-B,2023,2,1,0
19-12-N,2023,2,1,0
19-12-R,2023,2,1,0
19-15,2023,2,1,0
19-16-B,2023,2,1,0
19-17-E,2023,2,1,0
19-17-G,2023,2,1,0
19-18,2023,2,1,0
19-19-A,2023,2,1,0
19-19-F,2023,2,1,0
19-20-A,2023,2,1,0
19-20-C,2023,2,1,0
19-22-A,2023,2,1,0
19-22-C,2023,2,1,0
19-22-I,2023,2,1,0
19-23,2023,2,1,0
19-24-B,2023,2,1,0
19-26-A,2023,2,1,0
19-26-C,2023,2,1,0
19-26-E,2023,2,1,0
19-29,2023,2,1,0
19-32-A,2023,2,1,0
20-2,2023,2,1,0
20-3-A,2023,2,1,0
20-3-C,2023,2,1,0
20-3-E,2023,2,1,0
20-4-A,2023,2,1,0
20-4-F,2023,2,1,0
20-7-A,2023,2,1,0
20-8,2023,2,1,0
20-9-C,2023,2,1,0
20-9-G,2023,2,1,0
20-9-I,2023,2,1,0
20-9-M,2023,2,1,0
20-9-O,2023,2,1,0
20-9-Q,2023,2,1,0
20-9-R,2023,2,1,0
20-9-W,2023,2,1,0
20-11-A,2023,2,1,0
21-2,2023,2,1,0
21-4,2023,2,1,0
21-6,2023,2,1,0
21-8,2023,2,1,0
21-10,2023,2,1,0
21-100,2023,2,1,0
21-106,2023,2,1,0
21-107-B,2023,2,1,0
21-107-C,2023,2,1,0
21-107-F,2023,2,1,0
21-107-H,2023,2,1,0
21-107-J,2023,2,1,0
21-107-L,2023,2,1,0
21-107-N,2023,2,1,0
21-107-P,2023,2,1,0
21-109,2023,2,1,0
21-111,2023,2,1,0
21-113,2023,2,1,0
21-115,2023,2,1,0
21-117,2023,2,1,0
21-119,2023,2,1,0
21-12,2023,2,1,0
21-121,2023,2,1,0
21-123,2023,2,1,0
21-125,2023,2,1,0
21-126-B,2023,2,1,0
21-130,2023,2,1,0
21-134,2023,2,1,0
21-136,2023,2,1,0
21-14,2023,2,1,0
21-142,2023,2,1,0
21-144,2023,2,1,0
21-146,2023,2,1,0
21-150,2023,2,1,0
21-152,2023,2,1,0
21-154,2023,2,1,0
21-156,2023,2,1,0
21-158,2023,2,1,0
21-16,2023,2,1,0
21-160,2023,2,1,0
21-162,2023,2,1,0
21-164,2023,2,1,0
21-20,2023,2,1,0
21-22,2023,2,1,0
21-24,2023,2,1,0
21-26,2023,2,1,0
21-28,2023,2,1,0
21-30,2023,2,1,0
21-32,2023,2,1,0
21-34,2023,2,1,0
21-36,2023,2,1,0
21-38,2023,2,1,0
21-40,2023,2,1,0
21-42,2023,2,1,0
21-44,2023,2,1,0
21-46,2023,2,1,0
21-48,2023,2,1,0
21-50,2023,2,1,0
21-52,2023,2,1,0
21-54,2023,2,1,0
21-56,2023,2,1,0
21-58,2023,2,1,0
21-60,2023,2,1,0
21-62,2023,2,1,0
21-64,2023,2,1,0
21-66,2023,2,1,0
21-68,2023,2,1,0
21-70,2023,2,1,0
21-72,2023,2,1,0
21-74,2023,2,1,0
21-76,2023,2,1,0
21-78,2023,2,1,0
21-80,2023,2,1,0
21-82,2023,2,1,0
21-84,2023,2,1,0
21-86,2023,2,1,0
21-88,2023,2,1,0
21-90,2023,2,1,0
21-92,2023,2,1,0
21-94,2023,2,1,0
21-96,2023,2,1,0
21-98,2023,2,1,0
22-2-E,2023,2,1,0
22-2-G,2023,2,1,0
22-7-B,2023,2,1,0
22-7-D,2023,2,1,0
22-7-F,2023,2,1,0
22-9,2023,2,1,0
22-11,2023,2,1,0
22-13-A,2023,2,1,0
22-14-A,2023,2,1,0
22-15,2023,2,1,0
22-17-AE,2023,2,1,0
22-17-AW,2023,2,1,0
22-17-AY,2023,2,1,0
22-17-B,2023,2,1,0
22-17-BA,2023,2,1,0
22-17-J,2023,2,1,0
22-17-P,2023,2,1,0
22-18-B,2023,2,1,0
22-18-D,2023,2,1,0
22-18-F,2023,2,1,0
22-18-H,2023,2,1,0
22-18-J,2023,2,1,0
22-19,2023,2,1,0
22-1-B,2023,2,1,0
22-1-D,2023,2,1,0
22-1-F,2023,2,1,0
22-21,2023,2,1,0
22-23,2023,2,1,0
22-24-C,2023,2,1,0
22-26,2023,2,1,0
22-28-A,2023,2,1,0
22-28-C,2023,2,1,0
22-29-A,2023,2,1,0
22-29-C,2023,2,1,0
22-31,2023,2,1,0
6-2-A,2023,2,1,0
6-11-C,2023,2,1,0
6-13-D,2023,2,1,0
8-7-A,2023,2,1,0
11-97,2023,2,1,0
14-2,2023,2,1,0
19-10-A,2023,2,1,0
19-17-B,2023,2,1,0
19-39-B,2023,2,1,0
20-9-U,2023,2,1,0
11-87,2023,2,1,0
20-9-E,2023,2,1,0
